###;States;Params;Trial;Time;Distance;Iterations;ResFit;GoalFit;MissFitFlag;Alg
1011;8;9;1010;199,701;0,036;627;3,041;0,792;1;0
3556;6;7;6;3,32118988;0,067888698;4;0,310558175;0,6;0;2
4096;9;10;6;35,09000683;1,263342719;7;0,469886162;0,9;0;2
490;6;5;489;199,924;0,024;1596;1,273;0,594;1;0
1447;10;1;1446;1,77;0,021;20;0,932;0,99;0;0
6652;8;11;3;32,72687197;1,475839627;3;0,193596646;0,8;0;4
203;4;5;202;199,936;0,072;2386;0,64;0,396;1;0
4222;9;2;11;0;0,050567776;1;0,51742914;0,9;0;2
1836;10;2;5;2,82116127;0,628861558;9;0,740236208;1;0;1
5191;7;4;1;13,61677837;0,014306909;2;0,153666467;0,7;0;3
5180;7;4;0;199,999;0,014814982;253;1,001055665;0,7;1;3
826;7;12;825;199,739;0,072;617;1,044;0,693;1;0
3271;4;6;1;6,402366161;0,625347237;6;0,361707384;0,4;0;2
5114;7;10;4;22,780303;1,142422005;5;0,37105308;0,7;0;3
1751;10;16;1750;199,575;0,03;299;1,54;0,99;1;0
2383;6;6;12;101,9738326;0,185694289;8;0,427473087;0,6;0;1
394;5;8;393;199,94;0,038;1292;0,621;0,495;1;0
5540;9;10;10;37,05611944;1,32881017;5;0,812485877;0,9;0;3
4490;10;15;19;24,88942337;1,314575537;4;0,970530801;1;0;3
4035;8;7;5;17,09397793;1,203052579;11;0,731499104;0,8;0;2
665;7;4;664;5,465;0,063;41;0,659;0,693;0;0
5035;6;6;5;3,353191853;0,324671221;2;0,303698132;0,6;0;3
5607;9;13;17;31,59580755;0,970822301;5;0,608371195;0,9;0;3
5353;8;12;4;148,9185181;1,036870459;9;0,739319637;0,8;0;3
3322;5;4;11;0;0,044930446;1;0,23338002;0,5;0;2
4786;4;5;15;0;0,089421052;1;0,21483929;0,4;0;3
3674;7;2;4;0,47002697;0,011133993;2;0,114754938;0,7;0;2
4687;10;9;16;9,339534283;0,949148131;3;0,617639472;1;0;3
511;6;6;510;7,124;0,02;48;0,582;0,594;0;0
3876;8;12;6;32,21484232;1,012560881;7;0,77053113;0,8;0;2
4060;8;9;0;10,66060972;0,897446909;7;0,612145943;0,8;0;2
4653;10;7;3;12,05368948;0,381758523;3;0,45122793;1;0;3
870;8;2;869;0,565;0,006;5;0,477;0,792;0;0
3470;6;3;19;0;0,150561256;1;0,58860228;0,6;0;2
641;7;3;640;6,466;0,038;62;0,691;0,693;0;0
4045;8;8;14;3,143179893;0,687698188;3;0,519053153;0,8;0;2
5700;9;4;10;3,489199638;0,427196148;2;0,423019173;0,9;0;3
6307;6;10;17;7,709441185;0,605456822;2;0,374080381;0,6;0;4
4977;6;3;7;0;0,011035155;1;0,3597108;0,6;0;3
4806;4;6;15;11,55966139;0,096929755;3;0,219145147;0,4;0;3
1432;9;16;1431;19,096;0,084;32;0,859;0,891;0;0
6253;5;6;4;0;0,228084201;1;0,417160085;0,5;0;4
